gt,pred,score
truck,truck,0.940424
car,car,0.920191
plane,plane,0.478413
bird,bird,0.894747
bird,frog,0.518174
horse,dog,0.616651
cat,dog,0.285531
bird,bird,0.576572
ship,car,0.895283
plane,ship,0.730536
truck,truck,0.345655
dog,dog,0.34138
ship,ship,0.995638
car,plane,0.385908
truck,truck,0.965548
deer,horse,0.4398
car,deer,0.33656
cat,car,0.238447
ship,plane,0.675574
car,car,0.571141
deer,bird,0.693226
horse,horse,0.999633
truck,truck,0.993049
deer,deer,0.624844
bird,bird,0.983068
horse,horse,0.90883
plane,ship,0.972332
horse,deer,0.348745
plane,ship,0.828041
frog,frog,0.945263
frog,frog,0.668164
truck,ship,0.761245
plane,plane,0.950792
truck,plane,0.852051
bird,horse,0.702215
ship,plane,0.41066
horse,horse,0.988337
bird,dog,0.415886
bird,cat,0.488281
dog,dog,0.704713
car,car,0.880747
bird,plane,0.881062
frog,frog,0.880396
bird,bird,0.402998
truck,horse,0.3532
frog,frog,0.525576
bird,dog,0.385059
cat,cat,0.299049
plane,plane,0.584155
cat,truck,0.557949
truck,truck,0.843803
ship,car,0.45047
horse,horse,0.847061
ship,ship,0.676088
ship,ship,0.850729
deer,deer,0.770099
plane,plane,0.995953
car,truck,0.453087
ship,ship,0.722313
bird,bird,0.457256
horse,horse,0.95025
truck,plane,0.946037
cat,dog,0.356735
frog,frog,0.917647
car,car,0.543371
truck,truck,0.980203
plane,cat,0.437368
horse,horse,0.6997
cat,dog,0.66452
horse,horse,0.841855
deer,deer,0.84497
dog,deer,0.484608
plane,ship,0.812888
plane,plane,0.374879
bird,bird,0.412648
truck,truck,0.634397
cat,dog,0.642135
deer,cat,0.549418
plane,truck,0.5762
frog,frog,0.970297
bird,deer,0.533199
dog,dog,0.524331
cat,cat,0.71335
horse,dog,0.349902
cat,cat,0.504014
horse,horse,0.950431
bird,cat,0.321757
dog,horse,0.308973
cat,cat,0.527413
car,truck,0.27989
car,truck,0.585348
deer,bird,0.356147
truck,truck,0.993402
truck,truck,0.522395
dog,cat,0.35068
horse,bird,0.342582
dog,dog,0.388437
plane,plane,0.977035
bird,bird,0.85076
bird,bird,0.883721
bird,truck,0.236431
truck,ship,0.753204
horse,horse,0.889865
cat,cat,0.394916
truck,truck,0.98671
deer,bird,0.470898
cat,deer,0.353781
dog,dog,0.573279
deer,deer,0.599557
frog,truck,0.741092
dog,cat,0.473316
frog,deer,0.259989
car,car,0.873978
deer,deer,0.485322
cat,cat,0.638891
deer,deer,0.667173
deer,horse,0.975157
cat,cat,0.66866
horse,dog,0.627249
ship,ship,0.416418
cat,cat,0.540178
horse,horse,0.592985
ship,ship,0.920378
plane,plane,0.721121
dog,cat,0.372911
horse,horse,0.592711
frog,frog,0.94534
plane,plane,0.357109
dog,dog,0.359244
deer,frog,0.342557
ship,ship,0.533189
frog,frog,0.946957
ship,ship,0.948883
dog,horse,0.687886
dog,dog,0.45386
truck,ship,0.489567
truck,truck,0.894164
truck,truck,0.625758
dog,deer,0.291284
plane,plane,0.854528
car,car,0.931777
plane,deer,0.519662
ship,ship,0.53766
car,car,0.986753
car,plane,0.643971
ship,ship,0.988476
plane,plane,0.493408
bird,bird,0.871129
bird,bird,0.574071
plane,plane,0.990059
deer,cat,0.353836
frog,frog,0.955366
dog,cat,0.389334
deer,deer,0.501417
truck,truck,0.959326
deer,deer,0.447489
horse,horse,0.403967
truck,truck,0.838071
truck,ship,0.487123
deer,deer,0.885752
dog,dog,0.890378
frog,frog,0.997377
frog,frog,0.999637
car,car,0.987874
dog,dog,0.823762
cat,dog,0.552112
ship,ship,0.987661
truck,truck,0.990335
dog,horse,0.355731
ship,ship,0.977949
dog,dog,0.387524
horse,horse,0.997134
plane,plane,0.983598
horse,horse,0.99501
plane,plane,0.971011
dog,cat,0.308978
plane,deer,0.610255
plane,plane,0.988798
deer,plane,0.831328
frog,frog,0.914125
truck,plane,0.497868
plane,horse,0.323723
truck,frog,0.604112
dog,dog,0.371332
frog,frog,0.997122
frog,frog,0.787427
frog,frog,0.871059
bird,bird,0.506998
truck,ship,0.934399
plane,truck,0.487438
car,car,0.950725
horse,horse,0.418832
frog,frog,0.922011
horse,horse,0.970824
dog,dog,0.892558
truck,truck,0.885688
car,car,0.998618
frog,frog,0.636808
bird,frog,0.270711
dog,dog,0.7667
dog,dog,0.563831
dog,cat,0.524676
ship,ship,0.734055
dog,deer,0.37346
truck,truck,0.84368
deer,ship,0.60896
frog,frog,0.521139
deer,cat,0.668006
cat,cat,0.710209
bird,bird,0.905187
plane,plane,0.999309
horse,horse,0.800973
frog,cat,0.412198
bird,cat,0.554238
bird,deer,0.718898
cat,dog,0.894626
truck,truck,0.894359
horse,cat,0.536092
truck,truck,0.669648
bird,bird,0.309122
frog,bird,0.419626
horse,horse,0.999901
car,ship,0.949542
cat,plane,0.239854
frog,cat,0.374058
frog,cat,0.439889
ship,ship,0.957431
truck,plane,0.560036
horse,horse,0.998698
dog,cat,0.380264
deer,deer,0.640122
plane,plane,0.749171
ship,ship,0.798927
deer,bird,0.207186
plane,plane,0.951913
truck,ship,0.515194
cat,deer,0.329848
deer,deer,0.588063
ship,ship,0.989005
truck,truck,0.897693
frog,frog,0.797367
truck,car,0.794764
bird,bird,0.922958
frog,frog,0.933914
car,car,0.675039
deer,deer,0.703501
horse,horse,0.437518
cat,dog,0.543697
dog,horse,0.42713
cat,cat,0.623024
ship,ship,0.594145
dog,dog,0.787481
plane,plane,0.694269
bird,bird,0.602671
car,car,0.993594
frog,frog,0.930253
deer,deer,0.353321
cat,cat,0.514103
cat,cat,0.774366
truck,truck,0.908218
frog,frog,0.983904
truck,plane,0.523363
ship,ship,0.996044
ship,ship,0.993675
dog,dog,0.537825
ship,ship,0.526328
frog,deer,0.375174
frog,cat,0.691841
bird,horse,0.41847
car,car,0.968904
horse,horse,0.65114
horse,horse,0.290205
car,car,0.996353
bird,horse,0.751555
horse,horse,0.940917
truck,truck,0.890682
truck,car,0.800347
deer,deer,0.832043
deer,horse,0.994565
car,ship,0.491505
bird,ship,0.888755
dog,cat,0.292828
frog,frog,0.778862
ship,cat,0.51478
horse,horse,0.880058
frog,frog,0.399336
ship,ship,0.974565
cat,plane,0.330635
plane,ship,0.764037
dog,bird,0.518098
dog,cat,0.482381
cat,frog,0.372428
plane,plane,0.505585
horse,horse,0.996399
truck,truck,0.564735
car,truck,0.69183
cat,cat,0.630462
deer,deer,0.382372
deer,deer,0.746497
dog,dog,0.776867
cat,cat,0.308848
truck,truck,0.407776
dog,cat,0.676715
frog,deer,0.297974
truck,truck,0.945262
bird,deer,0.777722
car,car,0.959279
car,car,0.903388
deer,deer,0.803838
car,car,0.758211
truck,truck,0.913978
deer,dog,0.335585
horse,horse,0.999673
frog,bird,0.56132
cat,cat,0.726506
ship,plane,0.585868
truck,truck,0.999434
plane,plane,0.99577
car,truck,0.426961
cat,dog,0.49447
frog,frog,0.998731
cat,horse,0.627553
frog,deer,0.341051
cat,cat,0.559865
bird,deer,0.457377
plane,plane,0.577158
cat,deer,0.860548
car,frog,0.412716
plane,dog,0.765178
dog,dog,0.469675
truck,ship,0.586924
frog,frog,0.993379
deer,cat,0.292104
ship,plane,0.572025
truck,truck,0.819029
frog,bird,0.422449
truck,truck,0.722839
frog,frog,0.396628
cat,frog,0.828802
plane,deer,0.33837
cat,cat,0.405511
bird,bird,0.563143
bird,plane,0.39572
horse,horse,0.977749
ship,ship,0.95402
cat,cat,0.625304
ship,ship,0.731812
bird,bird,0.455296
horse,horse,0.993215
dog,dog,0.606918
horse,horse,0.999988
bird,bird,0.558284
deer,dog,0.386886
ship,plane,0.281066
horse,horse,0.512915
deer,deer,0.818503
bird,bird,0.319017
truck,dog,0.420474
ship,plane,0.491706
ship,ship,0.989892
frog,bird,0.504453
ship,plane,0.644937
ship,ship,0.996188
horse,horse,0.894059
deer,deer,0.936549
cat,cat,0.545447
cat,cat,0.582248
ship,ship,0.561065
deer,deer,0.818644
truck,ship,0.673852
deer,horse,0.437954
ship,ship,0.740698
ship,ship,0.998482
car,car,0.985406
ship,ship,0.7532
bird,ship,0.352452
car,car,0.938731
cat,dog,0.213565
frog,frog,0.977023
dog,cat,0.473701
deer,cat,0.814487
bird,bird,0.451392
horse,horse,0.92885
truck,truck,0.601765
truck,ship,0.813214
deer,bird,0.554924
car,car,0.489379
deer,plane,0.808978
car,car,0.984484
cat,horse,0.855819
bird,dog,0.781365
horse,horse,0.996544
plane,plane,0.915969
horse,horse,0.935051
truck,frog,0.320449
horse,horse,0.979966
frog,bird,0.311958
frog,frog,0.906181
bird,bird,0.601135
dog,cat,0.606643
truck,truck,0.991201
bird,plane,0.576572
truck,ship,0.577104
car,car,0.99457
bird,bird,0.795809
bird,deer,0.75425
frog,frog,0.790561
ship,ship,0.933264
bird,bird,0.458092
car,car,0.974409
cat,truck,0.412784
frog,dog,0.37097
frog,deer,0.367771
plane,horse,0.675637
car,car,0.968262
bird,bird,0.61019
horse,deer,0.699017
plane,truck,0.55614
dog,cat,0.637498
deer,deer,0.572813
frog,frog,0.257272
car,truck,0.814125
frog,frog,0.402192
deer,cat,0.424677
plane,plane,0.896777
bird,bird,0.333401
bird,cat,0.271503
frog,frog,0.943134
plane,plane,0.890462
dog,dog,0.745751
truck,truck,0.980554
car,car,0.461825
horse,horse,0.93787
frog,frog,0.741677
horse,horse,0.929368
plane,ship,0.492636
cat,cat,0.654581
truck,ship,0.380852
frog,deer,0.233236
ship,ship,0.755816
cat,plane,0.852395
plane,plane,0.960578
cat,cat,0.687266
deer,horse,0.243965
horse,bird,0.44435
horse,horse,0.765369
car,deer,0.438725
deer,deer,0.297545
horse,dog,0.452404
bird,deer,0.500624
horse,horse,0.922252
car,car,0.992307
deer,deer,0.545759
horse,horse,0.724825
deer,car,0.274344
deer,deer,0.921767
ship,ship,0.653929
deer,deer,0.590821
horse,horse,0.87361
horse,dog,0.269908
dog,bird,0.992579
cat,bird,0.449078
horse,horse,0.986482
bird,bird,0.97091
plane,plane,0.843867
ship,ship,0.998107
truck,truck,0.846277
dog,cat,0.756753
ship,car,0.483076
cat,dog,0.235238
frog,ship,0.470939
bird,dog,0.508728
plane,plane,0.922283
ship,ship,0.982447
horse,horse,0.803585
cat,ship,0.219252
horse,deer,0.382323
frog,frog,0.493425
dog,dog,0.558056
cat,plane,0.645367
car,car,0.683471
cat,cat,0.599449
bird,bird,0.904673
bird,dog,0.442648
dog,bird,0.82192
deer,cat,0.437842
car,truck,0.734337
bird,bird,0.377918
truck,truck,0.736225
bird,bird,0.983824
horse,horse,0.999985
plane,ship,0.641744
horse,horse,0.994002
bird,bird,0.95508
car,bird,0.444637
cat,bird,0.274908
bird,deer,0.290974
plane,plane,0.877566
bird,bird,0.332661
deer,deer,0.867905
horse,dog,0.762058
truck,truck,0.839234
ship,ship,0.864375
truck,car,0.941154
plane,plane,0.902614
horse,truck,0.51393
horse,horse,0.655142
plane,ship,0.718363
horse,horse,0.952718
ship,ship,0.591248
deer,deer,0.864457
frog,frog,0.921748
cat,cat,0.362404
cat,cat,0.391053
plane,plane,0.99937
car,car,0.933361
cat,cat,0.391244
horse,horse,0.543414
plane,plane,0.822145
car,car,0.358927
cat,cat,0.541869
car,car,0.999975
deer,deer,0.866082
bird,ship,0.58401
cat,cat,0.837383
ship,plane,0.535855
deer,deer,0.922075
bird,bird,0.542482
cat,cat,0.400516
horse,horse,0.856242
ship,ship,0.989566
deer,ship,0.36749
cat,cat,0.32408
plane,plane,0.582615
truck,cat,0.262112
plane,plane,0.935561
plane,ship,0.441306
car,car,0.852486
plane,plane,0.561857
deer,deer,0.600218
deer,deer,0.578816
frog,frog,0.919916
horse,dog,0.61196
frog,dog,0.561934
car,car,0.718424
car,car,0.948019
cat,cat,0.534761
horse,horse,0.812515
cat,horse,0.914947
dog,dog,0.734837
bird,bird,0.312851
frog,frog,0.662388
frog,frog,0.998674
dog,dog,0.30212
ship,ship,0.578902
horse,horse,0.327676
car,car,0.556905
frog,frog,0.310555
ship,ship,0.604568
ship,ship,0.914737
dog,horse,0.696063
cat,cat,0.942863
plane,cat,0.545492
deer,dog,0.430222
plane,bird,0.729501
car,car,0.998596
cat,horse,0.285227
ship,ship,0.961689
ship,ship,0.990381
plane,plane,0.44834
frog,frog,0.745334
truck,truck,0.922191
truck,cat,0.553668
truck,truck,0.671466
dog,horse,0.591959
dog,dog,0.34338
ship,ship,0.952646
frog,dog,0.401833
plane,plane,0.982471
plane,ship,0.53703
deer,deer,0.989551
bird,bird,0.954781
cat,plane,0.305888
bird,cat,0.524056
horse,horse,0.996613
bird,bird,0.640482
bird,bird,0.405196
dog,horse,0.541556
truck,truck,0.806504
ship,ship,0.888917
truck,truck,0.751673
car,horse,0.859688
horse,horse,0.758341
deer,deer,0.751185
plane,plane,0.959832
cat,dog,0.478782
plane,plane,0.814505
car,car,0.439551
cat,horse,0.503289
ship,ship,0.517033
cat,cat,0.36853
truck,truck,0.835436
frog,deer,0.404761
car,plane,0.574161
deer,horse,0.649237
horse,horse,0.982313
plane,bird,0.514854
cat,frog,0.524711
horse,horse,0.958661
ship,car,0.469207
truck,truck,0.986013
car,truck,0.6675
car,ship,0.76188
frog,frog,0.967684
frog,dog,0.648175
frog,bird,0.407243
frog,frog,0.32863
truck,truck,0.738967
car,car,0.976742
truck,truck,0.490954
truck,truck,0.973065
deer,deer,0.943886
bird,dog,0.627047
car,car,0.984189
horse,plane,0.468633
plane,plane,0.998167
frog,frog,0.97939
ship,plane,0.647022
car,ship,0.546043
truck,truck,0.885689
bird,dog,0.283833
truck,car,0.570013
plane,horse,0.803199
deer,deer,0.88871
horse,horse,0.752224
ship,ship,0.694034
cat,horse,0.73588
car,car,0.997855
bird,deer,0.600263
plane,plane,0.331008
car,car,0.827247
dog,dog,0.756113
ship,ship,0.919876
deer,cat,0.430736
frog,cat,0.293385
cat,cat,0.576469
ship,ship,0.981662
car,car,0.522099
cat,cat,0.739637
ship,ship,0.962898
dog,dog,0.962777
plane,ship,0.542359
ship,cat,0.544202
deer,deer,0.54335
ship,ship,0.897494
car,car,0.997003
car,car,0.797642
ship,plane,0.919334
truck,horse,0.435647
frog,horse,0.712785
plane,plane,0.999606
ship,ship,0.992722
frog,frog,0.357692
car,car,0.913367
cat,deer,0.498147
deer,deer,0.573746
car,car,0.793522
frog,frog,0.91777
plane,plane,0.984161
dog,ship,0.69554
car,car,0.996957
car,plane,0.360226
plane,plane,0.916101
plane,plane,0.764325
cat,cat,0.417891
dog,dog,0.857466
plane,plane,0.445036
plane,plane,0.857727
frog,frog,0.841414
frog,frog,0.997204
cat,cat,0.628416
cat,dog,0.378952
frog,cat,0.379148
cat,cat,0.361432
frog,cat,0.872301
frog,frog,0.246134
plane,frog,0.766604
horse,horse,0.688933
bird,bird,0.985361
bird,bird,0.458993
horse,horse,0.407287
dog,dog,0.806091
dog,deer,0.476308
bird,plane,0.448064
ship,plane,0.672528
dog,dog,0.700564
bird,bird,0.654619
car,car,0.741518
car,car,0.859725
deer,car,0.329877
cat,horse,0.887409
bird,dog,0.343451
plane,plane,0.907765
cat,cat,0.488844
car,car,0.644538
dog,cat,0.38552
cat,cat,0.572618
horse,horse,0.338664
frog,car,0.276392
ship,ship,0.722293
truck,truck,0.958891
car,car,0.862866
frog,cat,0.505736
deer,horse,0.765153
truck,cat,0.426139
cat,plane,0.589698
truck,car,0.448779
plane,plane,0.957902
truck,truck,0.813245
frog,frog,0.790087
cat,cat,0.656817
frog,frog,0.79614
plane,ship,0.977327
horse,horse,0.981992
cat,cat,0.461544
ship,ship,0.750867
plane,ship,0.45083
plane,plane,0.995765
plane,plane,0.999107
frog,frog,0.975629
frog,frog,0.73221
frog,frog,0.87731
truck,truck,0.65989
bird,cat,0.266488
dog,dog,0.711782
deer,deer,0.96075
deer,deer,0.425525
frog,frog,0.977757
cat,dog,0.693915
frog,frog,0.989437
plane,ship,0.561719
ship,ship,0.998678
frog,deer,0.391616
plane,deer,0.275454
frog,cat,0.40565
bird,bird,0.523352
horse,horse,0.85789
dog,cat,0.469391
car,car,0.648071
bird,bird,0.679034
horse,ship,0.855366
ship,ship,0.973707
ship,ship,0.98266
plane,plane,0.873321
truck,truck,0.864947
deer,cat,0.58325
truck,truck,0.511568
horse,horse,0.945343
bird,bird,0.599306
plane,plane,0.412289
bird,bird,0.991818
ship,ship,0.984448
cat,bird,0.28916
ship,ship,0.752708
truck,truck,0.805514
car,car,0.988833
dog,dog,0.576157
dog,dog,0.905156
deer,horse,0.813026
horse,horse,0.999633
dog,dog,0.790607
cat,cat,0.498618
ship,ship,0.953838
cat,cat,0.597826
cat,bird,0.4716
frog,frog,0.948783
bird,plane,0.803698
ship,ship,0.94184
deer,deer,0.507516
cat,plane,0.595082
horse,deer,0.415993
car,truck,0.741803
bird,bird,0.324571
deer,deer,0.555023
car,car,0.47612
frog,frog,0.925461
truck,car,0.654737
plane,truck,0.27035
dog,horse,0.358476
ship,ship,0.949652
frog,frog,0.392642
car,car,0.98276
ship,ship,0.80624
frog,frog,0.815152
car,car,0.542877
deer,cat,0.301581
bird,deer,0.735107
frog,ship,0.224898
bird,frog,0.411394
horse,truck,0.284411
bird,horse,0.942847
bird,dog,0.601149
plane,plane,0.980767
ship,ship,0.967612
frog,frog,0.978589
truck,plane,0.362158
car,ship,0.876278
horse,horse,0.994565
car,car,0.995596
ship,ship,0.925233
ship,ship,0.965776
plane,plane,0.790155
horse,horse,0.998403
cat,dog,0.899745
ship,plane,0.429907
plane,plane,0.887792
cat,cat,0.411785
deer,cat,0.635159
cat,deer,0.418744
horse,horse,0.820466
horse,horse,0.882974
truck,truck,0.783089
bird,dog,0.339795
cat,frog,0.813178
car,car,0.974563
truck,truck,0.325781
car,car,0.761577
truck,car,0.644949
frog,bird,0.840052
cat,deer,0.503386
cat,plane,0.311805
cat,truck,0.270188
car,car,0.990414
plane,plane,0.608121
frog,cat,0.472649
car,car,0.54452
deer,deer,0.908606
car,car,0.922177
plane,plane,0.882961
plane,plane,0.911895
car,car,0.985225
car,car,0.896819
frog,frog,0.617283
dog,cat,0.653531
deer,deer,0.97097
frog,frog,0.786767
bird,dog,0.41892
plane,plane,0.67815
horse,horse,0.998076
truck,plane,0.741081
ship,ship,0.967046
horse,horse,0.996316
bird,bird,0.835332
plane,ship,0.907808
frog,frog,0.926894
ship,ship,0.846517
car,car,0.987882
deer,deer,0.495896
cat,bird,0.24143
horse,horse,0.705023
plane,plane,0.958133
frog,frog,0.521111
car,horse,0.519957
ship,ship,0.951409
dog,dog,0.960817
horse,horse,0.998109
ship,car,0.777897
deer,deer,0.632922
ship,ship,0.900498
cat,dog,0.715915
truck,frog,0.520763
truck,horse,0.312612
truck,car,0.988993
ship,plane,0.879844
horse,horse,0.406442
frog,deer,0.685633
frog,frog,0.992405
cat,cat,0.364441
dog,deer,0.424202
car,car,0.996721
dog,cat,0.614708
truck,truck,0.97781
car,car,0.946297
deer,deer,0.550052
car,car,0.930476
dog,dog,0.526989
horse,horse,0.32165
plane,plane,0.628637
car,car,0.903588
dog,cat,0.612075
bird,bird,0.495234
plane,ship,0.682748
ship,car,0.527886
ship,ship,0.614814
dog,dog,0.448942
frog,frog,0.719529
horse,dog,0.367397
cat,cat,0.309789
bird,deer,0.224355
deer,deer,0.84082
horse,horse,0.859856
bird,dog,0.591089
dog,horse,0.222738
ship,ship,0.589061
bird,bird,0.759626
deer,deer,0.670589
truck,ship,0.400384
bird,bird,0.784251
car,frog,0.451535
ship,ship,0.994593
car,car,0.838347
truck,ship,0.863461
ship,ship,0.922371
ship,plane,0.713313
ship,plane,0.391713
truck,car,0.377974
plane,plane,0.762888
deer,deer,0.851868
cat,plane,0.306965
cat,cat,0.494464
car,car,0.868586
ship,ship,0.997335
deer,plane,0.6252
frog,frog,0.797935
cat,cat,0.403565
cat,cat,0.651506
dog,car,0.412774
bird,bird,0.734655
bird,bird,0.823577
ship,dog,0.423532
cat,dog,0.528265
ship,ship,0.998734
truck,truck,0.553142
dog,dog,0.376306
ship,ship,0.971242
truck,truck,0.565923
ship,car,0.383462
truck,plane,0.547982
car,car,0.998969
frog,frog,0.881216
dog,dog,0.667712
truck,ship,0.462689
deer,cat,0.480111
